"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"stephenasmith","16302242",2017-10-01 16:35:39,"914529252590129152","Awwwww Damn! Another Sunday, another game Jay Cutler can't get it done. I'm so surprised! I'm so surprised!",1701,4954,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-30 06:08:59,"914009159946907649","Terrible play by Darnold just now, taking the sack and losing the F-Ball. USC will lose this game to Wash. St &amp; he may lose the Heisman!",385,2049,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-30 05:57:27,"914006254879744000","RT @ARBernard: Looking forward to the Stronger Together:Confronting the State of Black America panel at Circle of Sisters at the Jacob Javi…",23,0,FALSE,NA,TRUE,"913970174365245441",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"ARBernard","18170890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-29 22:42:52,"913896887861878788","RT @CaseyMattox_: All these people talking about how good Tony Romo is at announcing. 

Of course he is. It's the regular season.",1950,0,FALSE,NA,TRUE,"913610422271578113",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"CaseyMattox_","461759120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-29 22:36:25,"913895266805338112","@Mzinkdupz1 @FirstTake Haaaa. Like the spunk",0,2,FALSE,NA,FALSE,NA,"913538411218087936","872263181053435905","Mzinkdupz1","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"Mzinkdupz1 FirstTake","872263181053435905 26588937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-29 22:36:01,"913895164959166465","@RobertBodnar Thank you",1,43,FALSE,NA,FALSE,NA,"913540113379991554","299250275","RobertBodnar","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"RobertBodnar","299250275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-29 17:32:04,"913818672594083840","O.J. Simpson should've been under the jail for the rest of his damn life. https://t.co/2NW5bhY46f",208,955,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"espn.com/video/clip?id=…","http://www.espn.com/video/clip?id=20860609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-29 00:54:43,"913567684293484544","Ladies &amp; Gentlemen, I have something to say that may shock you all: I have to confess, @tonyromo is doing one helluva job. He's VERY GOOD!",5046,23317,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"tonyromo","14532539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-28 17:27:14,"913455070309752832","You can't be a leader of men and find yourself in these kind of situations. https://t.co/MKFrDdTYVS",120,486,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"espn.com/video/clip?id=…","http://www.espn.com/video/clip?id=20848036&sf117399126=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-28 17:21:13,"913453555025104896","RT @FirstTake: According to @stephenasmith, Dwyane Wade's and LeBron James' friendship will only help the Cavaliers. https://t.co/9ry9czr3pG",135,0,FALSE,NA,TRUE,"913096703716274176",NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"es.pn/2ytKYbl","http://es.pn/2ytKYbl","FirstTake stephenasmith","26588937 16302242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-27 13:59:58,"913040520284393475","Time for @FirstTake. Let's get it!",158,1301,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"FirstTake","26588937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-26 20:02:42,"912769418102558725","Talk to all of you soon.#AskGH",18,148,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AskGH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-26 20:02:32,"912769375459008513","support and guidance. Couldn't do this without you buddy. See you soon. You too, @thelaurawright. And to all GH fans, keep the love coming.",13,94,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"thelaurawright","276554975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-26 20:01:32,"912769126346739712","Okay everyone. I've got to get back to work. Many thanks to the folks at @GeneralHospital &amp; especially my man @MauriceBenard for all your",15,209,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"GeneralHospital MauriceBenard","41665751 251432707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stephenasmith","16302242",2017-09-26 20:00:25,"912768844892196865","I reserve all of my flirts for Carly. Although i was feeling the lady Sonny just had a fling with, when he and Carl… https://t.co/3AkcNcxP1D",10,74,TRUE,"912768278354907136",FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/912768844892196865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
